account_a,account_b,shared_attribute,attribute_value,min_gap_minutes,burst_score
acc_00538,acc_00539,device_id,KFFOWI Build/LVY48F,0.5666666666666667,0.6382978723404256
acc_00016,acc_00090,device_id,MacOS,25.9,0.03717472118959108
acc_00016,acc_00102,device_id,MacOS,45.06666666666667,0.02170767004341534
acc_00016,acc_00104,device_id,MacOS,31.616666666666667,0.030659172202350538
acc_00016,acc_00121,device_id,MacOS,35.583333333333336,0.027334851936218676
acc_00016,acc_00246,device_id,MacOS,78.71666666666667,0.01254442818314865
acc_00016,acc_00279,device_id,MacOS,92.3,0.010718113612004287
acc_00016,acc_00294,device_id,MacOS,98.15,0.010085728693898134
acc_00016,acc_00302,device_id,MacOS,100.9,0.009813542688910696
acc_00016,acc_00303,device_id,MacOS,101.35,0.009770395701025891
acc_00016,acc_00364,device_id,MacOS,133.36666666666667,0.007442322004465393
acc_00016,acc_00378,device_id,MacOS,143.88333333333333,0.0069021051420683315
acc_00016,acc_00388,device_id,MacOS,149.46666666666667,0.00664599025254763
acc_00016,acc_00445,device_id,MacOS,184.03333333333333,0.005404431633939831
acc_00016,acc_00485,device_id,MacOS,219.36666666666667,0.004537891393132657
acc_00016,acc_00488,device_id,MacOS,221.06666666666666,0.004503152206544582
acc_00016,acc_00510,device_id,MacOS,231.13333333333333,0.00430786904078116
acc_00016,acc_00519,device_id,MacOS,134.48333333333332,0.007380981670562186
acc_00016,acc_00564,device_id,MacOS,284.6333333333333,0.00350099194771852
acc_00016,acc_00795,device_id,MacOS,761.7833333333333,0.0013109882666550135
acc_00016,acc_00848,device_id,MacOS,792.5166666666667,0.0012602129759929429
acc_00016,acc_00862,device_id,MacOS,802.3,0.0012448649321548614
acc_00016,acc_00875,device_id,MacOS,809.95,0.001233121647450521
acc_00016,acc_00905,device_id,MacOS,829.85,0.001203586688331227
acc_00016,acc_01000,device_id,MacOS,889.4333333333333,0.0011230487028787482
acc_00016,acc_01026,device_id,MacOS,901.7,0.0011077877478675084
acc_00016,acc_01186,device_id,MacOS,967.3833333333333,0.0010326489165791784
acc_00016,acc_01201,device_id,MacOS,973.5166666666667,0.001026149715243454
acc_00016,acc_01239,device_id,MacOS,987.8833333333333,0.0010112416361889674
acc_00016,acc_01282,device_id,MacOS,1003.0166666666667,0.0009959994024003585
acc_00016,acc_01286,device_id,MacOS,1006.6,0.0009924573243350536
acc_00016,acc_01315,device_id,MacOS,1017.35,0.0009819806549810968
acc_00016,acc_01358,device_id,MacOS,1033.6166666666666,0.0009665415532322762
acc_00016,acc_01376,device_id,MacOS,1039.3666666666666,0.0009611995770721862
acc_00016,acc_01418,device_id,MacOS,1058.6666666666667,0.0009436929852154765
acc_00016,acc_01436,device_id,MacOS,1063.5666666666666,0.0009393493440210415
