account_id,ml_risk_score,was_in_test_set
acc_00000,0.09535604521766836,False
acc_00001,0.09535604521766836,True
acc_00002,0.09535604521766836,False
acc_00003,0.1739961097164576,False
acc_00004,0.09535604521766836,False
acc_00005,0.09535604521766836,False
acc_00006,0.09535604521766836,False
acc_00007,0.15053938908290243,False
acc_00008,0.005870289436295528,True
acc_00009,0.08723661417231376,False
acc_00010,0.09535604521766836,False
acc_00011,0.1946280479288486,False
acc_00012,0.09535604521766836,False
acc_00013,0.006074228353638015,True
acc_00014,0.09535604521766836,True
acc_00015,0.09535604521766836,False
acc_00016,0.09535604521766836,False
acc_00017,0.09535604521766836,False
acc_00018,0.09535604521766836,False
acc_00019,0.09535604521766836,False
acc_00020,0.09535604521766836,True
acc_00021,0.08846413240987254,True
acc_00022,0.08450823489854559,False
acc_00023,0.09535604521766836,False
acc_00024,0.09464480195229683,False
acc_00025,0.0759573844516417,False
acc_00026,0.0877793327364778,True
acc_00027,0.09535604521766836,False
acc_00028,0.09552435798304915,False
acc_00029,0.09535604521766836,False
acc_00030,0.09535604521766836,False
acc_00031,0.09535604521766836,False
acc_00032,0.09552435798304915,False
acc_00033,0.09535604521766836,False
acc_00034,0.09535604521766836,True
acc_00035,0.09535604521766836,False
acc_00036,0.17916945853210514,False
acc_00037,0.019556592170640368,True
acc_00038,0.09535604521766836,False
acc_00039,0.12484205353660181,False
acc_00040,0.09552435798304915,True
acc_00041,0.09552435798304915,False
acc_00042,0.09535604521766836,False
acc_00043,0.09535604521766836,False
acc_00044,0.09535604521766836,False
acc_00045,0.1850301791613225,False
acc_00046,0.08262905493988043,False
acc_00047,0.09535604521766836,False
acc_00048,0.05762786422978494,False
acc_00049,0.12484205353660181,False
acc_00050,0.09535604521766836,False
acc_00051,0.09535604521766836,False
acc_00052,0.0759573844516417,False
acc_00053,0.09093059624657751,True
acc_00054,0.09535604521766836,False
acc_00055,0.09552435798304915,False
acc_00056,0.09535604521766836,False
acc_00057,0.045050459794634644,False
acc_00058,0.09535604521766836,False
acc_00059,0.09535604521766836,False
acc_00060,0.09822556832877806,False
acc_00061,0.09535604521766836,False
acc_00062,0.10040453841721886,False
acc_00063,0.09013854817365359,False
acc_00064,0.09535604521766836,True
acc_00065,0.09535604521766836,False
acc_00066,0.08846413240987254,False
acc_00067,0.09535604521766836,False
acc_00068,0.09535604521766836,False
acc_00069,0.20985443650824265,False
acc_00070,0.08638226546989447,False
acc_00071,0.09535604521766836,False
acc_00072,0.5809428699892417,False
acc_00073,0.3576569072596727,False
acc_00074,0.013958294604390166,False
acc_00075,0.09535604521766836,False
acc_00076,0.09535604521766836,False
acc_00077,0.0985367764436759,False
acc_00078,0.09535604521766836,False
acc_00079,0.09535604521766836,False
acc_00080,0.21847631867016845,False
acc_00081,0.02178345641905922,False
acc_00082,0.09535604521766836,False
acc_00083,0.09535604521766836,False
acc_00084,0.09535604521766836,False
acc_00085,0.09535604521766836,False
acc_00086,0.09535604521766836,False
acc_00087,0.1503073154535397,False
acc_00088,0.09535604521766836,True
acc_00089,0.10030934946139335,False
acc_00090,0.09535604521766836,False
acc_00091,0.09535604521766836,False
acc_00092,0.09535604521766836,True
acc_00093,0.6775593581032934,False
acc_00094,0.040220567902903966,False
acc_00095,0.3021002187482213,False
acc_00096,0.09535604521766836,False
acc_00097,0.6965459536711339,False
acc_00098,0.3021262641986396,True
acc_00099,0.09797599375709626,False
acc_00100,0.0981265977389524,False
acc_00101,0.1509276437398225,True
acc_00102,0.09797599375709626,False
acc_00103,0.09797599375709626,False
acc_00104,0.019922234669232437,False
acc_00105,0.1118163151083621,False
acc_00106,0.09797599375709626,True
acc_00107,0.23518768287738936,False
acc_00108,0.23518768287738936,False
acc_00109,0.09797599375709626,False
acc_00110,0.05558001538854182,False
acc_00111,0.23018768287738936,False
acc_00112,0.09797599375709626,False
acc_00113,0.03339428071876334,False
acc_00114,0.09797599375709626,False
acc_00115,0.14553304486076454,True
acc_00116,0.09797599375709626,False
acc_00117,0.05558001538854182,False
acc_00118,0.09797599375709626,False
acc_00119,0.40236179531277144,True
acc_00120,0.09797599375709626,False
acc_00121,0.0981265977389524,False
acc_00122,0.14797374303060265,False
acc_00123,0.09797599375709626,False
acc_00124,0.18658429720791278,False
acc_00125,0.1118163151083621,True
acc_00126,0.23018768287738936,True
acc_00127,0.24658663957778532,False
acc_00128,0.09797599375709626,False
acc_00129,0.09797599375709626,False
acc_00130,0.24658663957778532,False
acc_00131,0.0929604341201307,False
acc_00132,0.4124964824785076,False
acc_00133,0.09797599375709626,False
acc_00134,0.09797599375709626,True
acc_00135,0.1118163151083621,False
acc_00136,0.148623425461946,False
acc_00137,0.15829023505290588,False
acc_00138,0.09797599375709626,True
acc_00139,0.23531566162287823,False
acc_00140,0.09797599375709626,False
acc_00141,0.031594918155384046,False
acc_00142,0.1118163151083621,False
acc_00143,0.03339428071876334,False
acc_00144,0.09797599375709626,False
acc_00145,0.09797599375709626,False
acc_00146,0.09797599375709626,False
acc_00147,0.09797599375709626,True
acc_00148,0.09797599375709626,False
acc_00149,0.22450233186344118,False
acc_00150,0.10297599375709625,True
acc_00151,0.2404494622826985,False
acc_00152,0.10297599375709625,False
acc_00153,0.10297599375709625,False
acc_00154,0.373566927002755,True
acc_00155,0.10297599375709625,True
acc_00156,0.23018768287738936,True
acc_00157,0.18169685172725686,False
acc_00158,0.019922234669232437,False
acc_00159,0.04363895463742786,False
acc_00160,0.13499771765338214,False
acc_00161,0.13832912642936368,False
acc_00162,0.32767887025577175,False
acc_00163,0.06987505648392142,False
acc_00164,0.1279200484295292,False
acc_00165,0.1613806986594042,True
acc_00166,0.026237800397983277,True
acc_00167,0.10291488791115572,False
acc_00168,0.177848792419412,False
acc_00169,0.09640623997629084,False
acc_00170,0.03791048388413489,False
acc_00171,0.09640623997629084,True
acc_00172,0.09640623997629084,False
acc_00173,0.19637808001989238,False
acc_00174,0.14481264838915486,False
